N,b,r,mean,sem
16777216,14,0,1.0,0.0
16777216,14,1,0.229451319589,6.856843275e-06
16777216,14,3,0.134819571212,7.39474996185e-06
16777216,14,7,0.08649522171,7.68977974727e-06
16777216,14,15,0.0570435707684,8.47465100615e-06
16777216,14,31,0.0377495556602,8.20865607984e-06
16777216,14,63,0.0247433875108,8.05508657239e-06
16777216,14,127,0.0159282443074,7.94080763502e-06
16777216,14,255,0.0100092157771,7.75801875571e-06
16777216,14,511,0.00613327224675,7.52956875218e-06
16777216,14,1023,0.00364479550974,7.35495285642e-06
16777216,14,2047,0.00209333136797,7.22603344531e-06
16777216,14,4095,0.00117207086645,7.27435766848e-06
16777216,14,8191,0.000624098018474,7.08873743025e-06
16777216,14,16383,0.000327086501995,7.17464085336e-06
16777216,14,32767,0.000168914129934,7.20895562825e-06
16777216,14,65535,6.15274298466e-05,6.96917398966e-06
16777216,14,131071,4.07435994838e-05,6.9551932357e-06
16777216,14,262143,2.37939737564e-05,6.97872207441e-06
16777216,14,524287,1.41397979037e-06,7.08800753774e-06
16777216,14,1048575,1.22800353426e-05,6.99902144741e-06
16777216,14,2097151,-7.06972521299e-06,7.12125322602e-06
16777216,14,4194303,1.84164603254e-05,7.13973195087e-06
16777216,14,8388607,4.65368127911e-06,9.36236618542e-06
