L,T,chi,chi_err
12,7.462000000000001,0.13515634961280004,0.0005681985977945178
12,7.507000000000001,0.14626632594239994,0.0005348331043549169
12,7.553,0.15778945825920002,0.0005762806186004582
12,7.598,0.17363675652479998,0.0005918784575396465
12,7.644,0.18968735986560006,0.0006651680479299987
12,7.689,0.2071827657792,0.0007806937413478531
12,7.734,0.2306367362015999,0.0009367595269303565
12,7.78,0.2533849047648001,0.0009815619885790744
12,7.825,0.281206435104,0.0010596160432900603
12,7.87,0.318310427808,0.0011683382274627204
12,7.916,0.35638306128,0.001457029188930513
12,7.961,0.406535329728,0.0015361011110007609
12,8.007,0.4627596277440001,0.0018118981612757234
12,8.052,0.530624901024,0.00202303322983718
12,8.097000000000001,0.6154496925120001,0.002684527729260965
12,8.142999999999999,0.7208458064640001,0.002957401563565813
12,8.187999999999999,0.8503402109759999,0.0035561065386522485
12,8.232999999999999,1.0195996564799998,0.003197789162626302
12,8.279,1.2388700183039998,0.004361480502710882
12,8.289061,1.30166712288,0.002929671898849297
12,8.296387,1.3437015246719994,0.0032108729425949227
12,8.303713,1.390246508016001,0.003116724013693053
12,8.311039,1.439167269312,0.003262058136362704
12,8.318365,1.494945379151999,0.002997520501310821
12,8.324,1.5377989527360003,0.006717732105143546
12,8.325691,1.5577135738560004,0.003289485758844573
12,8.333017,1.6223910513120006,0.0033630384887421844
12,8.340342,1.6831837169279995,0.003836486401072381
12,8.347667999999999,1.758198472704,0.003426779598549593
12,8.354994,1.84216640472,0.0039367818749619175
12,8.36232,1.9265438286719998,0.004339527921081281
12,8.369646000000001,2.0044948953599997,0.004496647085250578
12,8.37,2.01026419488,0.006359514624302785
12,8.376972,2.0809935413279987,0.004611798983384506
12,8.384298,2.14545617568,0.004653809105311783
12,8.391624,2.191566413231999,0.004000872567219526
12,8.39895,2.2166208239039986,0.004766227111506364
12,8.406275,2.211220005696,0.004375239968802188
12,8.413601,2.2102742924639998,0.004332117514830636
12,8.415,2.196847946304,0.006510320241529438
12,8.420927,2.180439562464,0.004648056743271125
12,8.428253,2.1478687392960008,0.004200668258257542
12,8.435578999999999,2.119776595344001,0.0040522735255654405
12,8.442905,2.0762489462400002,0.0038334174917973867
12,8.450231,2.029872017808001,0.004463045713810771
12,8.457557000000001,1.9972845306719984,0.003942816585427268
12,8.46,1.981684681056,0.006825621774940729
12,8.464883,1.954442937311999,0.003730324070969557
12,8.472208,1.9077383554560008,0.003892633305481881
12,8.479534,1.873070833679999,0.003830974075290144
12,8.48686,1.8253523832480003,0.003322924197709115
12,8.494186000000001,1.7838454158720003,0.00332278435552657
12,8.501512,1.7511884605439996,0.003605766743896882
12,8.506,1.720816918272,0.005732756039745969
12,8.508838,1.7108072726399999,0.003330280042753919
12,8.516164,1.6756973133119988,0.003214140152287425
12,8.551,1.521034013376,0.005712004699759261
12,8.596,1.3492039933439999,0.003377756540000409
12,8.642000000000001,1.218777821856,0.00548944123190532
12,8.687000000000001,1.103009923584,0.003882028931376903
12,8.732999999999999,1.0093221095040004,0.003319361981927605
12,8.777999999999999,0.931081467168,0.003880907547229232
12,8.77846,0.93081844656,0.0025947832914544754
