b,mean,sem
1,10.777658027358294,0.0047911418238871
2,9.305054020494236,0.005122361719837742
3,8.658831029613644,0.004746386698664672
4,7.927326319670509,0.005224638231947038
5,7.3288898616395315,0.006197017932874707
6,6.843028628260455,0.0068042073988020665
7,6.307471426456157,0.007967430759109119
8,5.686987252108255,0.009854838212294449
9,4.912366254853888,0.012953293040033677
10,3.923936874191021,0.017556619551683875
11,2.7985442921161003,0.02145286492142423
12,1.7482225455971727,0.023194415458679143
13,0.9598369722494637,0.02223367381979218
14,0.4742994328299661,0.020027093328556886
15,0.23333571857226879,0.018133786595599995
16,0.0945109302804471,0.016359678914182874
17,0.0363102980976661,0.015189552816312605
18,0.024330905079427263,0.014885547953471768
19,0.02380103373210422,0.01467704580149092
20,0.019104176799372388,0.014475626224251206
21,0.022964708570308013,0.014540738640411579
22,0.0188304962737792,0.014387230585995168
23,0.019642644145911006,0.01439395193306845
24,0.01929807217101396,0.014388213105076838
25,0.019203774759756806,0.014380097392010913
26,0.018805741419886262,0.01437532424137131
27,0.019155601882722105,0.014384625189432435
